agency_cd	site_no	parameter_cd	ts_id	year_nu	month_nu	mean_va
5s	15s	5s	3n	4s	2s	12n
USGS	04216000	00060	217733	1980	1	229600
USGS	04216000	00060	217733	1980	2	217200
USGS	04216000	00060	217733	1980	3	223400
USGS	04216000	00060	217733	1980	4	239600
USGS	04216000	00060	217733	1980	5	242700
USGS	04216000	00060	217733	1980	6	243300
USGS	04216000	00060	217733	1980	7	236700
USGS	04216000	00060	217733	1980	8	239600
USGS	04216000	00060	217733	1980	9	236700
USGS	04216000	00060	217733	1980	10	229600
USGS	04216000	00060	217733	1980	11	217000
USGS	04216000	00060	217733	1980	12	213400
USGS	04216000	00060	217733	1981	1	200500
USGS	04216000	00060	217733	1981	2	204400
USGS	04216000	00060	217733	1981	3	209500
USGS	04216000	00060	217733	1981	4	210300
USGS	04216000	00060	217733	1981	5	225400
USGS	04216000	00060	217733	1981	6	232500
USGS	04216000	00060	217733	1981	7	226500
USGS	04216000	00060	217733	1981	8	227600
USGS	04216000	00060	217733	1981	9	229200
USGS	04216000	00060	217733	1981	10	225800
USGS	04216000	00060	217733	1981	11	224400
USGS	04216000	00060	217733	1981	12	219700
USGS	04216000	00060	217733	1982	1	218600
USGS	04216000	00060	217733	1982	2	207400
USGS	04216000	00060	217733	1982	3	223900
USGS	04216000	00060	217733	1982	4	227600
USGS	04216000	00060	217733	1982	5	231200
USGS	04216000	00060	217733	1982	6	237800
USGS	04216000	00060	217733	1982	7	223500
USGS	04216000	00060	217733	1982	8	221200
USGS	04216000	00060	217733	1982	9	211500
USGS	04216000	00060	217733	1982	10	208400
USGS	04216000	00060	217733	1982	11	217200
USGS	04216000	00060	217733	1982	12	222500
USGS	04216000	00060	217733	1983	1	222900
USGS	04216000	00060	217733	1983	2	215200
USGS	04216000	00060	217733	1983	3	216000
USGS	04216000	00060	217733	1983	4	226500
USGS	04216000	00060	217733	1983	5	240300
USGS	04216000	00060	217733	1983	6	229200
USGS	04216000	00060	217733	1983	7	234000
USGS	04216000	00060	217733	1983	8	237200
USGS	04216000	00060	217733	1983	9	230000
USGS	04216000	00060	217733	1983	10	220900
USGS	04216000	00060	217733	1983	11	224600
USGS	04216000	00060	217733	1983	12	234300
USGS	04216000	00060	217733	1984	1	210900
USGS	04216000	00060	217733	1984	2	218100
USGS	04216000	00060	217733	1984	3	227500
USGS	04216000	00060	217733	1984	4	233600
USGS	04216000	00060	217733	1984	5	236100
USGS	04216000	00060	217733	1984	6	236800
USGS	04216000	00060	217733	1984	7	233100
USGS	04216000	00060	217733	1984	8	227900
USGS	04216000	00060	217733	1984	9	226500
USGS	04216000	00060	217733	1984	10	219800
USGS	04216000	00060	217733	1984	11	222500
USGS	04216000	00060	217733	1984	12	223300
USGS	04216000	00060	217733	1985	1	219400
USGS	04216000	00060	217733	1985	2	200400
USGS	04216000	00060	217733	1985	3	238200
USGS	04216000	00060	217733	1985	4	264200
USGS	04216000	00060	217733	1985	5	259200
USGS	04216000	00060	217733	1985	6	257000
USGS	04216000	00060	217733	1985	7	244000
USGS	04216000	00060	217733	1985	8	238500
USGS	04216000	00060	217733	1985	9	235300
USGS	04216000	00060	217733	1985	10	228700
USGS	04216000	00060	217733	1985	11	241300
USGS	04216000	00060	217733	1985	12	260900
USGS	04216000	00060	217733	1986	1	224300
USGS	04216000	00060	217733	1986	2	234700
USGS	04216000	00060	217733	1986	3	255500
USGS	04216000	00060	217733	1986	4	253600
USGS	04216000	00060	217733	1986	5	264300
USGS	04216000	00060	217733	1986	6	268400
USGS	04216000	00060	217733	1986	7	265200
USGS	04216000	00060	217733	1986	8	253500
USGS	04216000	00060	217733	1986	9	243700
USGS	04216000	00060	217733	1986	10	254000
USGS	04216000	00060	217733	1986	11	248000
USGS	04216000	00060	217733	1986	12	257600
USGS	04216000	00060	217733	1987	1	254000
USGS	04216000	00060	217733	1987	2	241600
USGS	04216000	00060	217733	1987	3	239600
USGS	04216000	00060	217733	1987	4	249400
USGS	04216000	00060	217733	1987	5	245900
USGS	04216000	00060	217733	1987	6	240500
USGS	04216000	00060	217733	1987	7	243200
USGS	04216000	00060	217733	1987	8	235400
USGS	04216000	00060	217733	1987	9	231200
USGS	04216000	00060	217733	1987	10	224900
USGS	04216000	00060	217733	1987	11	217100
USGS	04216000	00060	217733	1987	12	223300
USGS	04216000	00060	217733	1988	1	215000
USGS	04216000	00060	217733	1988	2	213300
USGS	04216000	00060	217733	1988	3	212400
USGS	04216000	00060	217733	1988	4	215500
USGS	04216000	00060	217733	1988	5	220200
USGS	04216000	00060	217733	1988	6	212400
USGS	04216000	00060	217733	1988	7	203200
USGS	04216000	00060	217733	1988	8	207100
USGS	04216000	00060	217733	1988	9	198300
USGS	04216000	00060	217733	1988	10	198600
USGS	04216000	00060	217733	1988	11	199300
USGS	04216000	00060	217733	1988	12	199300
USGS	04216000	00060	217733	1989	1	199500
USGS	04216000	00060	217733	1989	2	193000
USGS	04216000	00060	217733	1989	3	186200
USGS	04216000	00060	217733	1989	4	206900
USGS	04216000	00060	217733	1989	5	214100
USGS	04216000	00060	217733	1989	6	224300
USGS	04216000	00060	217733	1989	7	216200
USGS	04216000	00060	217733	1989	8	214900
USGS	04216000	00060	217733	1989	9	206400
USGS	04216000	00060	217733	1989	10	199800
USGS	04216000	00060	217733	1989	11	206800
USGS	04216000	00060	217733	1989	12	189100
USGS	04216000	00060	217733	1990	1	193500
USGS	04216000	00060	217733	1990	2	202700
USGS	04216000	00060	217733	1990	3	208800
USGS	04216000	00060	217733	1990	4	217900
USGS	04216000	00060	217733	1990	5	221400
USGS	04216000	00060	217733	1990	6	218100
USGS	04216000	00060	217733	1990	7	208500
USGS	04216000	00060	217733	1990	8	210300
USGS	04216000	00060	217733	1990	9	214600
USGS	04216000	00060	217733	1990	10	212700
