Monthly data for lake:, eri,,,,,,,,,,,
Subbasin:, Overlake,,,,,,,,,,,
DataType:, Precipitation,,,,,,,,,,,
DataType:, Sum of daily precipitation values,,,,,,,,,,,
Units:, mm,,,,,,,,,,,
YYYY,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1940,37.97,62.77,63.53,80.37,112.79,103.18,46.34,132.73,68.57,54.09,87.08,98.97
1941,47.94,26.34,33.7,37.56,56.95,67.71,66.27,78.11,33.06,98.55,55.05,46.09
1942,46.35,72.89,78.4,62.04,128.51,75.17,104.47,79.16,103.55,87.32,90.04,75.15
1943,46.52,42.27,65.56,97.54,149.14,71.82,115.67,61.6,64.12,76.47,46.67,27.55
1944,29.4,59.25,78.74,103.08,84.73,80.36,37.23,77.17,84.23,45.04,58.35,68.97
1945,45.19,55.14,108.51,82.06,104.97,124.53,69.35,67.35,164.8,126.04,63.05,53.02
1946,29.33,54.39,61.53,23.81,137.18,111.17,65.68,51.31,37.84,86.1,61.04,70.39
1947,97.35,26.97,62.4,145.46,132.43,107.91,82.05,86.83,82.38,29.02,73.63,59.52
1948,43.37,63.15,111.81,79.49,106.59,117.28,65.58,67.27,47.23,81.05,96.47,56.52
1949,81.04,62.46,67.54,60.39,80.26,48.63,90.48,79.9,83.5,40.49,76.86,83.65
1950,149.69,106.2,91.85,101.7,43.43,72.02,101.89,71.53,89.16,69.52,137.88,63.36
1951,69.46,80.23,106.35,78.42,66.73,96.05,60.33,42.93,71.32,63.04,109.84,98.97
1952,93.52,51.48,67.98,73.99,89.95,39.05,56.68,93.46,81.27,25.49,64.78,67.05
1953,73.61,25.25,76.89,67.61,111.6,59.02,60.53,65.87,65.8,17.71,61.7,69.2
1954,68.86,79.63,123.22,129.79,30.26,57.89,49.59,68.94,50.27,220.5,58.74,61.89
1955,53.48,60.36,85.32,84.24,51.62,50.45,50.67,112.53,55.33,136.38,82.02,38.79
1956,45.17,72.92,93.56,96.01,126.18,67.25,97.04,169.05,57.12,23.85,62.84,66.66
1957,70.92,52.91,37.32,130.2,83.57,133.75,94.62,60.62,117.04,66.84,69.38,86.45
1958,47.66,30.02,19.74,74.17,52.35,111.02,109.54,98.83,109.77,51.46,97.24,29.67
1959,113.35,74.94,73.63,99.98,80.28,44.8,78.91,54.92,79.5,134.26,82.93,80.45
1960,75.96,62.83,37.92,71.81,93.49,97.99,65.14,68.43,42.65,40.7,50.2,28.38
1961,17.09,79.3,69.05,164.36,55.13,93.82,90.16,106.16,70.06,41.91,68.5,55.08
1962,70.48,56.22,32,38.18,39.78,81.3,71.5,80.44,98.91,69.76,66.74,69.88
1963,29.22,22.75,72.27,73.54,54.77,42.33,62.59,67.28,36.75,18.71,78.36,49.05
1964,51.52,29.86,105.44,111.95,67.22,53.73,69.39,148.4,37.6,34.92,35.45,81.05
1965,108.15,74.9,74.04,50.11,60.51,63.75,62.47,93.98,66.67,90.34,70.91,70.85
1966,39.94,48.23,66.57,86.96,49.06,76.92,71.83,85.27,71.54,35.95,131.58,112.51
1967,35.76,40.09,40.8,86.9,81.54,96.19,68.33,72.69,74.38,80.03,88.79,89.94
1968,89.11,24.74,49.34,58.54,104.5,94.77,75.45,87.02,70.04,66.7,107.84,98.86
1969,77.54,13.88,40.12,119.24,138.58,107.7,140.1,28.78,66.95,60.87,98.48,65.49
1970,43.53,37.37,53.27,74.92,74.74,82.56,107.98,38.69,116.82,89.11,96.15,63.41
1971,36.06,79.7,41.61,35.21,59.4,66.54,63.32,63.37,67.5,51.39,67.49,104.55
1972,47.44,52.24,91.68,88.43,87.41,118.46,69.13,89.11,124.9,64.52,109.91,91.45
1973,41.64,44.58,121.2,71.55,95.09,119.49,71.57,57.02,44.58,97.69,85.4,91.95
