Monthly data for lake:, hur,,,,,,,,,,,
Subbasin:, Overlake,,,,,,,,,,,
DataType:, Precipitation,,,,,,,,,,,
DataType:, Sum of daily precipitation values,,,,,,,,,,,
Units:, mm,,,,,,,,,,,
YYYY,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1940,71.3,34.24,39.76,45.87,86.05,83.28,59.18,100.96,84.87,68.04,86.45,70.79
1941,63.36,39.48,34.24,62.45,60.13,33.46,62.43,71.92,90.41,148.58,92.16,65.66
1942,69.86,36.31,90.93,43.35,126.81,62.51,69.84,52.4,137.33,68.98,72.96,89.88
1943,67.69,72.52,91.61,71.32,97.4,94.72,70.93,78.54,58.43,50.62,90.12,39.39
1944,34.38,44.42,72.42,45.42,48.09,97.82,78.17,49.74,103.99,39,88.13,65.21
1945,57.82,47.51,44.71,78.15,139.36,100.23,64.17,58.99,120.41,96.92,66.36,70.01
1946,85.17,62.45,34.13,23.41,87.06,66.99,38.66,62.16,66.22,35.59,52.51,99.24
1947,67.84,62.4,58.89,90.4,120.72,61.71,96.12,31.39,101.02,29.11,76.57,44.13
1948,62.65,47.12,93.03,67.46,58.17,61.63,49.31,28.43,26.1,45.29,94.46,51.52
1949,79.43,67.45,48.05,42.28,50.71,83.39,61.65,45.3,74.82,52.75,61.26,101.66
1950,100.02,85.2,73.04,66.16,28.64,77.9,87.89,85.31,74.85,55.17,96.08,71.76
1951,78.76,65.81,75.23,97.65,36.22,64.37,114.58,83.89,83.64,123.22,89.91,98.59
1952,73.83,40.09,60.4,79.58,67.37,51.9,117.25,86.91,59.97,16.87,87.83,56.57
1953,63.01,65.71,78.27,67.74,106.59,62.23,82.3,67.61,92.9,39.51,53.79,69.55
1954,50.48,60.61,73.53,100.45,48.4,115.44,45.52,56.63,120.54,155.48,63.07,58.89
1955,63.94,50.87,52.99,66.2,67.27,36.21,59.55,78.32,22.54,86.98,80.81,63.62
1956,28.97,49.63,49.21,74.89,81.69,73.11,83.1,114.64,61.58,20.45,61.73,67.61
1957,65.11,35.44,37.52,80.5,73.66,109.67,75.91,31.19,105.02,86.26,78.69,79.51
1958,47.85,37.94,12.23,33.99,28.54,61.31,65.24,56.12,86.47,58.93,85.63,67.75
1959,63.37,61.44,42.42,99.9,89.78,37.44,75.76,122.14,92.23,105.92,98.32,72.41
1960,59.58,47.36,44.63,73.06,111.36,86.67,64.24,44.03,58.49,54.13,67.62,45.74
1961,31.06,41.98,57.03,47.44,41.48,81.89,75.17,82.32,116.67,43.02,61.13,59.08
1962,72.89,59.57,16.41,46.51,70.94,68.8,53.39,64.35,91.89,81.06,30.84,87.08
1963,46.65,29,55.69,51.71,87.81,52.51,73.53,80.64,60.82,30.53,67.29,71.11
1964,42.15,21.41,49.36,67.97,62.6,35.38,80.89,120.86,82.48,39.83,72.4,77.13
1965,84.92,85.54,41.64,64.89,61.43,44.79,49.94,100.56,124.27,61.59,86.1,73.65
1966,49.14,39.65,73.94,57.41,34.79,36.68,27.05,87.91,60.7,55.28,135.1,96.16
1967,74.17,53.19,32.41,93.57,38.3,136.75,45.6,97.25,63.83,94.51,89.35,85.71
1968,53.51,65.22,34.34,58.79,71.38,82.51,55.53,110.1,86.42,64.78,70.24,91.42
1969,80.9,19.58,37.4,75.01,88.77,120.66,61.45,27.26,46.09,128.59,83.94,47.28
1970,58.4,24.25,49.09,63.6,63.26,54.26,134.5,39.96,130.21,73.27,53.94,79.49
1971,80.67,74.61,57.2,40.71,66.63,65.45,88.5,93.38,54.66,30.57,63.13,116.73
1972,54.56,52.29,70.18,47.54,47.22,70.09,95.91,108.56,66.97,68.62,49.58,124.85
1973,40.8,34.67,72.63,43.06,114.57,83.24,78.36,71.45,49.33,77.66,78.21,61.55
1974,86.12,50.65,42.69,85.06,80.99,82.86,76.83,48.33,83.2,55,62.33,41.78
1975,89.13,57.95,54.09,55.07,61.24,79.31,82.17,110.58,69.66,27.43,73.54,63.36
1976,74.5,58.8,111.94,35.04,74.93,84.67,71.65,45.65,66.39,62.85,48.67,60.81
1977,76.52,56.46,65.5,50.09,36.62,42.92,75.67,149.92,120.32,61.86,101.39,79.62
1978,75.55,25.21,28.15,37.06,68.96,55.07,54.6,60.8,164.67,46.26,56.6,82.94
1979,80.89,34.96,69.84,91.22,62.06,78.26,44.93,82.91,27.42,103.8,87.79,61.02
1980,47.89,32.79,52.6,94.13,55,82.43,87.2,50.97,96.21,64.76,39.63,75.25
1981,34.38,66.81,28.3,90.87,56.01,78.59,40.22,92.36,117.79,78,50.54,44.26
1982,79.75,25.18,66.95,43.89,64.08,92.82,53.99,94.28,101.85,62.69,95.63,91.69
1983,57.29,35.72,72.31,78.54,152.35,39.59,40.49,86.71,113.46,98.03,69.75,98.08
1984,46.52,40.14,64.5,67.71,86.91,86.33,64.34,101.63,110.95,76.29,79.92,91.23
1985,93.84,94.93,88.24,82.73,70.83,38.93,78.2,107.23,103.05,87.8,114.94,94.65
1986,54.68,41.83,70.83,52.62,74.58,77.42,90.29,69.13,234.69,71.62,28.73,51.2
1987,52.07,18.21,34.55,41.83,49.1,80.68,52.13,125.27,108.57,90.29,81.95,77.89
1988,58.13,65.33,59.25,70.41,31.7,27.72,75.46,91.22,87.04,144.94,116.54,65.55
1989,48.16,39.47,70.51,48.78,68.18,85.19,9.15,59.9,48.45,64.11,109.78,79.43
1990,72.6,46.87,58.07,51.6,85.28,98.93,75.42,78.81,89.58,122.71,109.71,80.88
1991,49.14,41.87,98.18,110.51,105.35,25.63,97.31,54.77,71.48,138.96,76.99,68.62
1992,69.17,48.13,49.39,92.36,33.84,51.72,95.75,98.94,98.12,62.57,125.82,50.6
1993,79.18,35.74,19.41,93.39,75.05,104.68,57.94,106.26,102.14,82.86,70.07,55.98
1994,85.57,41.76,52.21,69.83,70.38,102.04,121.93,138.37,65.74,57.64,105.19,26.63
