Monthly data for lake:, mic,,,,,,,,,,,
Subbasin:, Overlake,,,,,,,,,,,
DataType:, Precipitation,,,,,,,,,,,
DataType:, Sum of daily precipitation values,,,,,,,,,,,
Units:, mm,,,,,,,,,,,
YYYY,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1940,59.1,25.66,31.84,57.75,99.54,120.99,52.62,150.31,48.61,66.36,81.56,41.72
1941,49.5,31.86,33.49,55.73,80.1,51.08,62.63,88.63,155.86,149.73,69.82,42.82
1942,40.73,24.27,75.77,34.34,128.19,95.53,81.51,54.49,131.59,58.43,66.61,78.29
1943,55.92,38.69,71.08,49.94,108.04,107.94,66.42,87.52,35.85,47.07,72.14,17.1
1944,28.66,41.77,65.55,64.88,64.77,102.93,64.67,60.75,99.66,26.97,64.84,35.59
1945,24.97,45.92,36.1,86.5,124.43,114.65,60.77,99.85,129.86,49.53,90.8,44.91
1946,57.47,30.69,53.02,20.43,77.71,92.89,39.94,54.74,63.72,45.71,67.08,57.86
1947,47.77,30.53,36.68,127.87,124.84,80.55,66.65,58.07,110.22,25.3,62.14,33.44
1948,38.62,46.28,91.56,68.92,75.47,74.68,58.83,40.38,50.78,29.94,99.85,48.98
1949,66.51,48.36,54.03,43.06,56.02,92.29,103.79,46.47,58.4,49.07,57.9,65.28
1950,78.32,50.81,61.5,103.53,37.89,93.29,111.46,60.03,64.94,36.52,57.74,62.78
1951,42.36,46.18,75.69,98.67,57.49,69.42,112.19,83.04,86.11,123.88,73.71,60.7
1952,60.42,15.45,72.25,58.01,80.99,73.93,164.02,82.75,33.16,13.58,76.3,51.25
1953,43.16,66.95,46.06,85.98,64.55,91.09,80.38,64.7,55.53,28.08,33.65,58.51
1954,38.54,46.79,56.5,120.63,64.21,148.87,88.55,64.57,105.56,141.38,37.63,46.67
1955,34.95,33.89,43.87,70.56,71.12,71.84,54.83,58.51,35.78,97.8,53.08,34.24
1956,15,29.07,51.46,76.83,95.89,60.13,101.78,85.11,34.22,13.25,57.98,34.24
1957,33.86,24.66,37.89,81.63,112.13,83.7,71.17,77.24,46.55,57.45,92.54,55.28
1958,31.67,23.88,14.65,55.66,42.74,73.2,75.03,81.69,84.27,52.39,66.63,27.81
1959,49.27,49.04,69.32,84.08,75.73,33.65,85.81,126.32,99.27,132.23,63.9,67.8
