Monthly data for lake:, ont,,,,,,,,,,,
Subbasin:, Overlake,,,,,,,,,,,
DataType:, Precipitation,,,,,,,,,,,
DataType:, Sum of daily precipitation values,,,,,,,,,,,
Units:, mm,,,,,,,,,,,
YYYY,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1940,61.08,63.96,60.72,70.81,101.73,82.08,71.69,38.83,69.07,41.22,106.04,90.59
1941,59.59,50.99,45.56,23.56,35.85,38.98,93.26,84.84,38.57,103.19,69.61,74.03
1942,63.94,75.73,93.31,52.3,119.5,50.5,82.2,38.65,93.18,73.57,80.02,120.16
1943,58.94,60.33,76.71,85.09,141.38,68.05,75.17,91.16,52.6,110.76,56.99,22.57
1944,29.45,61.31,69.77,93.01,65.27,92.54,69.54,52.13,71.67,31.92,58.81,98.5
1945,56.06,62.32,81.52,91.38,122.75,74.63,124.45,49.67,147.26,103.83,94.58,52.84
1946,54.57,64.24,28.41,30.27,87.43,58.64,55.35,59.89,79.38,104.12,70.54,84.69
1947,113.56,41.86,84.86,76.84,116.74,118.36,147.45,46.86,69.58,19.77,67.88,63.77
1948,59.86,66.41,90.7,68.68,80.04,69.41,52.55,38.58,37.62,78.68,90.54,59.97
1949,76.65,68.73,50.7,73.72,37.12,22.4,53.87,57.07,86.06,37.33,81.47,88.03
1950,106.56,88.03,73.97,56.4,50.71,65.78,72.38,99.39,44.3,89.25,116.05,60.49
1951,68.37,73.16,104.77,110.78,43.18,91.66,120.67,65.42,70.3,49.31,86.71,99.57
1952,66.2,58.57,70.67,66.19,107.78,25.28,65.18,71.21,73.72,47.77,72.57,70.07
1953,62.78,34.38,91.27,58.29,125.58,46.12,54.16,71.56,92.13,25.99,54.23,64.09
1954,59.98,78.9,89.78,101.93,43.61,71.52,24.83,98.99,82.76,107.91,89.78,98.07
1955,42.15,50.78,100.48,67.75,65.23,26.94,49.45,124.2,57.17,225.32,42.78,48.1
1956,43.87,58.63,80.37,98.37,112.31,35.85,69.98,115.03,73,30.4,54.97,59.16
1957,71.95,47.38,35.99,74.31,78.83,95.93,60.12,29.42,93.04,40.39,59.81,84.73
1958,63.08,77.86,21.25,62.28,47.77,75.1,81.12,90.4,103.58,66.97,73.25,50.37
1959,95.86,74.68,57.68,71.99,57.7,36.87,90.05,54.15,60.38,116.66,73.01,110.67
1960,68.34,105.43,43.31,77.91,104.44,75.55,43.24,64.08,16.5,67.24,50.9,35.04
1961,30.37,76.66,65.69,106.28,74.72,105.9,75.15,77.48,26.46,42.29,83.74,60.84
1962,67.23,69.95,26.2,63.05,59.14,61.13,67.35,76.04,110.17,81.45,53.6,75.61
1963,44.58,34.53,57.67,74.11,79.2,18.47,49.07,92.59,31.99,10.4,133.21,74.64
1964,62.02,28.41,80.3,79,63.9,35.45,75.45,107.7,20.13,36.38,55.91,71.31
1965,78.6,102.98,44.61,65.42,27.06,48.59,66.44,95.63,83.79,94.22,104,57.45
1966,77.32,59.32,58.17,44.68,38.36,54.89,38.98,74.12,90.15,27.31,122.78,83.23
1967,47.35,39.7,23.53,67.59,76.24,76.59,52.87,72.48,109.98,101.36,83.78,61.67
1968,75.52,38.85,50.95,32.86,102.04,91.6,29.9,89.47,96.19,79.51,129.43,82.67
1969,79.01,18.21,43.55,99.8,83.46,97.8,74.81,48.25,30.73,59.01,99.53,81.42
1970,52,54.18,47.51,71.59,73.76,81.31,92.71,65.96,78.14,102.18,86.94,89.51
1971,50.05,114.94,57.02,36.36,42.23,86.04,82.96,91.1,56.2,49.6,58.15,92.18
1972,56.55,88.8,80.73,68.73,84.53,115.92,67,90.08,76.65,82.21,108.68,108.05
1973,44.51,50.78,92.73,112.79,85.13,61.26,41.06,34.43,57.66,99.04,98.97,117.54
1974,67.43,46.72,71.27,66.88,110.37,85.88,66.1,54.21,73.25,43.59,86.48,78.29
