Monthly data for lake:, sup,,,,,,,,,,,
Subbasin:, Overlake,,,,,,,,,,,
DataType:, Precipitation,,,,,,,,,,,
DataType:, Sum of daily precipitation values,,,,,,,,,,,
Units:, mm,,,,,,,,,,,
YYYY,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1940,43.53,24,34.64,49.17,101.55,107.47,52.5,52.96,42.36,45.81,104.38,44.53
1941,44.82,45.67,20.32,79.21,76.47,83.23,64.58,123.46,143.69,102.88,50.03,53.06
1942,38.57,26.64,59.37,49.56,93.39,55.78,89.65,90.41,113.07,86.52,78.42,57.37
1943,45.97,33.39,38.77,42.14,89.38,152.8,44.28,74.77,42.23,61.47,66.84,32.74
1944,23.9,34.49,63.6,31.16,89.08,153.73,106.09,100.72,76.17,31.58,80.35,49.36
1945,48.63,60.35,43.62,83.23,49,75.64,67.09,107.57,83.34,41.21,88.6,60.23
1946,70.51,54.46,33.74,37.22,65.38,83.23,41.68,77.78,91.29,86.54,71.15,57.98
1947,45.84,49.53,22.26,82.59,75.27,115.87,36.28,61.34,75.4,18.63,87.54,46.94
1948,69.35,38.78,48.55,88.4,22.09,51.59,73.89,62.9,26.79,38.47,109.51,72.84
1949,73.32,56.51,54.36,15.42,81.49,105.35,119.5,44.34,85.17,102.09,80,44.84
1950,95.67,39.51,59.16,71.38,81.7,97.28,80.47,78.4,54.42,63.97,105.07,53.54
1951,37.04,61.42,78.51,57.47,48.05,114.65,52.47,109.44,123.41,78.25,58.56,47.47
1952,51.41,18.74,45.98,43.74,53.66,109.23,110.97,84.28,31.27,27.46,54.24,30.31
1953,46.68,48.85,48.88,56.7,109.12,100.6,96.45,84.57,77.99,25.75,57.19,63.29
1954,61.33,35.23,47.31,94.73,98.61,81.26,31.94,53,92.41,60.4,35.72,19.5
1955,42.83,36.02,89.77,45.8,77.4,54.44,89.12,88.97,95.31,101.32,77.76,54.95
1956,36.45,19.8,20.98,42.37,84.96,67.95,80.57,74.77,65.88,22.7,62.9,61.2
1957,40.53,36.22,37.05,47.94,55.26,87.96,52.11,43.77,98.12,30.39,91.04,39.61
1958,36.83,23.36,16.13,35.13,47.18,86.12,92.23,106.63,74.15,45.46,100.07,57.22
1959,34.94,19.76,32.67,28.48,110.86,62.93,58.04,160.95,130.01,101.29,51.11,37.43
1960,47.89,30.98,27.88,112,99.1,63.19,75.39,66.95,72.54,65.24,74.87,36.76
1961,27.88,34.06,50.16,41.89,74.83,58.15,50.89,41.18,128.11,60.04,66.64,46.86
1962,48.9,54.44,13.96,43.39,91.32,42.37,49.48,96.62,91.22,28.74,27.09,53.18
1963,42.32,31.12,47.24,64.86,51.98,94.05,42.23,70.72,49.47,23.61,55.29,59.54
1964,48.52,28.74,40.34,84.75,114.15,81.11,51.27,103.18,99.73,54.04,56.8,68.37
1965,51.1,65.06,43.38,41.89,103.21,61.53,76.85,78.19,136.35,60.39,99.38,51.57
1966,63.48,34.39,68.59,36.93,42.36,45.08,54.24,108.87,50.14,91.18,54.47,58.32
1967,67.57,46.23,32.58,59.48,30.73,95.86,54.29,95.11,28.57,95.42,57.87,48.18
1968,35.42,39.46,52.75,88.18,73.84,131.57,131.54,86.38,115.9,95.08,29.15,93.6
1969,93.11,23.85,16.97,56.06,53.79,67.79,46.88,66.84,58.68,85.94,37.73,53.53
